# plans-index.txt,1
# id|location|valid_from|name|disclaimer|external_uri

# de

#!group:berlin|52.521165,13.413318|Berlin
berlin_bsu_ab|52.520134,13.388018|2016-01-15|Berlin Schnellbahn Liniennetz (AB)|Berliner Verkehrsbetriebe||BVG
berlin_bsu_abc|52.520134,13.388018|2016-01-15|Berlin Schnellbahn Liniennetz (ABC)|Berliner Verkehrsbetriebe||BVG
berlin_bsu_abc_arabic|52.520134,13.388018|2015-12-13|Berlin Schnellbahn Liniennetz arabisch (معلومات عن وسائل النقل العام في مدينة برلين)|Berliner Verkehrsbetriebe und „Moabit hilft!“||BVG
berlin_tram|52.521152,13.412832|2016-02-21|Berlin Tram-Netz|Berliner Verkehrsbetriebe||BVG
berlin_nacht|52.520134,13.388018|2014|Berlin Nachtverkehr|Berliner Verkehrsbetriebe||BVG
# berlin_anbindung_ber|52.363127,13.50498|2011-10|Berlin Brandenburg Flughafen Anbindung|Robert Aehnelt, Creative Commons|http://upload.wikimedia.org/wikipedia/commons/d/d3/Anbindung_BER.png
#!group:
brandenburg_regionalverkehr|52.525578,13.369523|2015-12-13|Brandenburg Regionalverkehr|Verkehrsverbund Berlin-Brandenburg ||VBB
potsdam_tag|52.390931,13.067171|2015-12-13|Potsdam Tagesliniennetz|Verkehrsverbund Berlin-Brandenburg ||VBB
potsdam_nacht|52.390931,13.067171|2015-12-13|Potsdam Nachtliniennetz|Verkehrsverbund Berlin-Brandenburg ||VBB
cottbus_tag_abc|51.760897,14.330106|2015-12-13|Cottbus Tageslinien ABC|Verkehrsverbund Berlin-Brandenburg ||VBB
cottbus_abend|51.760897,14.330106|2015-12-13|Cottbus Abendlinien|Verkehrsverbund Berlin-Brandenburg ||VBB
frankfurt_oder_abc|52.336876,14.545712|2015-12-13|Frankfurt (Oder) ABC|Verkehrsverbund Berlin-Brandenburg ||VBB
greifswald|54.092863,13.370336|2015-12|Greifswald Liniennetz|Stadtwerke Greifswald
dresden|51.050961,13.733239|2016-03-20|Dresden Liniennetz|Dresdner Verkehrsbetriebe AG
dresden_nacht|51.050961,13.733239|2015-01-05|Dresden Nachtverkehr|dvb.de
# dresden_sbahn|51.050961,13.733239|2008-01|Dresden S-Bahn|Maximilian Dörrbecker, Wikimedia Commons|http://upload.wikimedia.org/wikipedia/commons/9/99/Dresden_-_S-Bahn_-_Liniennetz.png
leipzig_halle_schnellbahn|51.423347,12.220980|2015-12-13|Leipzig/Halle Schnellbahn|Mitteldeutscher Verkehrsverbund GmbH
leipzig_tag|51.345476,12.379382|2015-11-28|Leipzig Linien Tag|Leipziger Verkehrsbetriebe GmbH
leipzig_nacht|51.345476,12.379382|2015-11-28|Leipzig Linien Nacht|Leipziger Verkehrsbetriebe GmbH
halle_tag|51.477347,11.985263|2016-05-02|Halle Linien Tag|SWH/HAVAG
halle_nacht|51.477347,11.985263|2016-05-02|Halle Linien Nacht|SWH/HAVAG
muenchen_schnellbahn|48.140377,11.560643|2016-12-11|München Schnellbahn|MVV
muenchen_tram_metrobus|48.140377,11.560643|2016-12-11|München Tram/MetroBus|MVV/MVG
muenchen_nacht|48.140377,11.560643|2016-12-11|München Nachtnetz|MVG
ingolstadt_tag|48.74462,11.437987|2014-12-14|Ingolstadt Liniennetz|Ingolstädter Verkehrsgesellschaft mbH
ingolstadt_nacht|48.74462,11.437987|2014-12-14|Ingolstadt Nachtliniennetz|Ingolstädter Verkehrsgesellschaft mbH
augsburg|48.364936,10.893713|2015-12|Augsburg Innenraum|AVV GmbH
augsburg_nachtbus|48.364936,10.893713|2015-12|Augsburg Nachtbus|AVV GmbH
ulm_stadt|48.398610,9.983322|2014-12|Ulm / Neu-Ulm Stadtnetz|Donau-Iller-Nahverkehrsverbund GmbH
ulm_regional|48.398610,9.983322|2014-11-06|Ulm Regionalnetz|Donau-Iller-Nahverkehrsverbund GmbH
